<TICKER>,<DATE>,<TIME>,<OPEN>,<LOW>,<HIGH>,<CLOSE>
EURUSD,20100104,0:00:00,1.4327,1.4315,1.4332,1.4315
EURUSD,20100104,1:00:00,1.4315,1.4288,1.4318,1.4291
EURUSD,20100104,2:00:00,1.4289,1.4255,1.4289,1.4269
EURUSD,20100104,3:00:00,1.427,1.4268,1.4297,1.4296
EURUSD,20100104,4:00:00,1.4295,1.427,1.4295,1.428
EURUSD,20100104,5:00:00,1.4281,1.428,1.4297,1.4287
EURUSD,20100104,6:00:00,1.4288,1.4286,1.4306,1.4298
EURUSD,20100104,7:00:00,1.4299,1.4278,1.4306,1.4292
EURUSD,20100104,8:00:00,1.4291,1.4268,1.4305,1.4303
EURUSD,20100104,9:00:00,1.4302,1.4298,1.4336,1.4331
EURUSD,20100104,10:00:00,1.433,1.433,1.4386,1.4382
EURUSD,20100104,11:00:00,1.4382,1.4372,1.4397,1.4378
EURUSD,20100104,12:00:00,1.4378,1.4373,1.4414,1.4394
EURUSD,20100104,13:00:00,1.4395,1.4385,1.4402,1.4396
EURUSD,20100104,14:00:00,1.4396,1.4386,1.443,1.4418
EURUSD,20100104,15:00:00,1.4419,1.4417,1.4447,1.4428
EURUSD,20100104,16:00:00,1.4428,1.4402,1.4453,1.4435
EURUSD,20100104,17:00:00,1.4434,1.4415,1.4438,1.4415
EURUSD,20100104,18:00:00,1.4415,1.4411,1.4418,1.4412
EURUSD,20100104,19:00:00,1.4412,1.4409,1.4427,1.4409
EURUSD,20100104,20:00:00,1.4409,1.4409,1.4425,1.4411
EURUSD,20100104,21:00:00,1.441,1.4406,1.4419,1.441
EURUSD,20100104,22:00:00,1.441,1.4401,1.4412,1.4409
EURUSD,20100104,23:00:00,1.4409,1.4407,1.442,1.4413
EURUSD,20100105,0:00:00,1.4412,1.4405,1.4424,1.4421
EURUSD,20100105,1:00:00,1.4422,1.4411,1.4438,1.4418
EURUSD,20100105,2:00:00,1.4419,1.4413,1.4431,1.4416
EURUSD,20100105,3:00:00,1.4417,1.4404,1.4418,1.4412
EURUSD,20100105,4:00:00,1.4413,1.4411,1.4425,1.442
EURUSD,20100105,5:00:00,1.4419,1.4416,1.4441,1.443
EURUSD,20100105,6:00:00,1.4429,1.4414,1.447,1.4463
EURUSD,20100105,7:00:00,1.4462,1.4445,1.4472,1.4468
EURUSD,20100105,8:00:00,1.4467,1.4446,1.4481,1.445
EURUSD,20100105,9:00:00,1.4449,1.4404,1.4452,1.4411
EURUSD,20100105,10:00:00,1.441,1.441,1.4435,1.4427
EURUSD,20100105,11:00:00,1.4426,1.4412,1.4434,1.4413
EURUSD,20100105,12:00:00,1.4414,1.44,1.4423,1.4417
EURUSD,20100105,13:00:00,1.4417,1.4416,1.4452,1.4438
EURUSD,20100105,14:00:00,1.4438,1.4418,1.4444,1.4427
EURUSD,20100105,15:00:00,1.4428,1.4386,1.4429,1.4403
EURUSD,20100105,16:00:00,1.4402,1.4398,1.4431,1.4413
EURUSD,20100105,17:00:00,1.4412,1.4384,1.4421,1.4396
EURUSD,20100105,18:00:00,1.4395,1.4382,1.4404,1.4389
EURUSD,20100105,19:00:00,1.4388,1.4346,1.439,1.436
EURUSD,20100105,20:00:00,1.436,1.4347,1.4366,1.4366
EURUSD,20100105,21:00:00,1.4366,1.4363,1.4371,1.4366
EURUSD,20100105,22:00:00,1.4366,1.4361,1.4371,1.4363
EURUSD,20100105,23:00:00,1.4363,1.4357,1.4365,1.4359
EURUSD,20100106,0:00:00,1.436,1.4347,1.4368,1.4361
